"","V1"
"1",89.168
"2",89.02
"3",88.797
"4",88.122
"5",88.297
"6",89.055
"7",89.24
"8",89.828
"9",89.668
"10",90.003
"11",90.177
"12",89.832
"13",89.46
"14",89.207
"15",89.177
"16",89.535
"17",90.285
"18",90.694
"19",91.082
"20",90.712
"21",90.918
"22",90.824
"23",90.746
"24",90.971
"25",90.903
"26",91.082
"27",90.893
"28",90.331
"29",89.538
"30",90.017
"31",90.161
"32",90.128
"33",89.864
"34",89.888
"35",89.676
"36",89.74
"37",89.916
"38",90.089
"39",90.169
"40",89.849
"41",89.783
"42",89.313
"43",89.082
"44",89.371
"45",89.895
"46",89.866
"47",89.53
"48",89.356
"49",89.248
"50",89.748
"51",89.982
"52",90.389
"53",90.504
"54",90.395
"55",90.466
"56",90.127
"57",90.299
"58",90.542
"59",90.378
"60",90.205
"61",90.198
"62",90.137
"63",90.119
"64",89.442
"65",89.019
"66",89.285
"67",89.397
"68",89.055
"69",88.989
"70",89.019
"71",89.162
"72",89.396
"73",89.293
"74",88.609
"75",88.687
"76",88.493
"77",88.5
"78",88.975
"79",89.123
"80",89.163
"81",89.393
"82",89.113
"83",89.631
"84",89.577
"85",89.478
"86",90.062
"87",89.984
"88",89.805
"89",89.589
"90",89.718
"91",90.141
"92",90.184
"93",90.688
"94",90.877
"95",91.033
"96",90.443
"97",89.686
"98",89.499
"99",89.812
"100",89.817
"101",89.344
"102",89.199
"103",88.901
"104",88.831
"105",88.86
"106",88.565
"107",89.539
"108",89.552
"109",89.353
"110",89.361
"111",89.347
"112",89.053
"113",88.917
"114",90.044
"115",89.704
"116",89.874
"117",89.405
"118",89.798
"119",89.165
"120",89.873
"121",89.656
"122",90.27
"123",89.687
"124",89.83
"125",89.444
"126",89.674
"127",89.413
"128",89.053
"129",89.093
"130",89.177
"131",89.454
"132",89.722
"133",89.472
"134",89.838
"135",89.685
"136",89.008
"137",88.787
"138",88.481
"139",88.765
"140",88.618
"141",88.749
"142",88.932
"143",88.822
"144",89.103
"145",88.878
"146",88.929
"147",89.273
"148",88.932
"149",88.971
"150",89.38
"151",89.699
"152",89.396
"153",89.995
"154",89.763
"155",90.415
"156",90.001
"157",89.9
"158",90.129
"159",90.322
"160",90.255
"161",90.387
"162",90.592
"163",90.353
"164",89.99
"165",90.089
"166",90.304
"167",90.776
"168",90.91
"169",90.534
"170",91.014
"171",91.258
"172",91.732
"173",91.709
"174",91.735
"175",91.866
"176",91.813
"177",91.644
"178",91.572
"179",91.179
"180",91.698
"181",91.875
"182",91.793
"183",91.999
"184",91.968
"185",91.952
"186",91.568
"187",91.685
"188",91.638
"189",91.835
"190",92.065
"191",91.384
"192",91.411
"193",91.683
"194",91.011
"195",91.245
"196",91.178
"197",91.209
"198",91.245
"199",91.494
"200",91.47
"201",91.374
"202",91.317
"203",91.496
"204",91.372
"205",91.505
"206",91.167
"207",91.268
"208",91.449
"209",91.392
"210",91.43
"211",91.445
"212",91.47
"213",91.367
"214",91.42
"215",91.016
"216",90.886
"217",91.114
"218",91.324
"219",90.993
"220",91.063
"221",91.444
"222",91.498
"223",90.841
"224",91.037
"225",91.446
"226",91.616
"227",91.609
"228",91.457
"229",91.447
"230",91.627
"231",91.981
"232",92.238
"233",92.302
"234",92.318
"235",92.126
"236",92.102
"237",92.158
"238",91.802
"239",91.586
"240",91.481
"241",91.311
"242",90.54
"243",90.217
"244",90.133
"245",90.145
"246",90.041
"247",89.613
"248",90.051
"249",90.103
"250",89.874
"251",89.644
"252",89.608
"253",89.151
"254",89.111
"255",89.315
"256",89.567
"257",90.271
"258",90.728
"259",90.585
"260",89.118
"261",89.722
"262",92.082
"263",92.904
"264",93.295
"265",93.919
"266",94.321
"267",94.671
"268",94.482
"269",94.769
"270",94.387
"271",94.124
"272",93.496
"273",93.89
"274",94.574
"275",94.87
"276",94.954
"277",95.118
"278",94.766
"279",94.631
"280",94.734
"281",94.297
"282",94.12
"283",94.052
"284",93.418
"285",93.398
"286",92.893
"287",92.492
"288",92.149
"289",92.408
"290",92.464
"291",91.861
"292",91.068
"293",91.536
"294",92.555
"295",93.363
"296",93.692
"297",93.322
"298",93.356
"299",92.928
"300",93.196
"301",93.171
"302",93.531
"303",93.243
"304",93.521
"305",93.416
"306",93.486
"307",93.292
"308",92.97
"309",93.01
"310",92.601
"311",93.403
"312",92.926
"313",92.607
"314",92.623
"315",92.4
"316",91.788
"317",92.788
"318",92.515
"319",92.137
"320",92.279
"321",92.686
"322",92.408
"323",91.942
"324",92.407
"325",92.264
"326",92.774
"327",92.515
"328",92.276
"329",92.084
"330",92.485
"331",92.979
"332",92.414
"333",92.266
"334",92.186
"335",92.64
"336",92.763
"337",92.567
"338",92.666
"339",93.022
"340",92.72
"341",91.902
"342",91.632
"343",92.026
"344",91.862
"345",90.332
"346",89.849
"347",89.482
"348",89.72
"349",90.634
"350",91.205
"351",91.114
"352",91.591
"353",91.69
"354",91.514
"355",91.715
"356",91.616
"357",91.58
"358",91.142
"359",90.366
"360",90.019
"361",90.477
"362",90.151
"363",90.381
"364",89.724
"365",89.886
"366",89.57
"367",88.905
"368",89.213
"369",89.71
"370",89.982
"371",90.193
"372",90.444
"373",89.586
"374",89.544
"375",90.384
"376",91.626
"377",91.914
"378",91.575
"379",92.014
"380",92.104
"381",91.612
"382",91.956
"383",92.671
"384",92.374
"385",93.187
"386",93.776
"387",94.049
"388",94.272
"389",94.131
"390",93.994
"391",94.303
"392",94.378
"393",94.191
"394",94.316
"395",94.132
"396",94.324
"397",93.897
"398",93.735
"399",93.933
"400",93.36
"401",93.34
"402",93.205
"403",92.601
"404",92.382
"405",92.51
"406",92.52
"407",92.623
"408",92.782
"409",92.983
"410",93.263
"411",93.238
"412",93.117
"413",92.922
"414",95.066
"415",95.797
"416",96.246
"417",95.803
"418",95.772
"419",95.773
"420",95.805
"421",95.819
"422",96.351
"423",96.818
"424",96.8
"425",96.828
"426",96.885
"427",96.633
"428",96.469
"429",96.3
"430",96.312
"431",96.518
"432",96.708
