"Variable","h=4","h=8","h=12","h=16","h=20"
"GDP - High Connectedness",1.6085,4.9998,10.8401,17.8449,23.3062
"GDP - Low Connectedness",-0.1225,0.9946,2.3859,4.2926,7.5726
"GDP - Wald p-value",0.1658,0.2286,0.1521,0.1474,0.2415
"CPI - High Connectedness",0.5029,1.06,5.5198,11.5311,17.2862
"CPI - Low Connectedness",0.3829,1.591,2.2491,3.3757,5.1335
"CPI - Wald p-value",0.8675,0.7578,0.2509,0.0422,0.0456
"FFR - High Connectedness",-5.6567,-6.5758,-6.4906,-4.6373,-1.8408
"FFR - Low Connectedness",-3.1738,-4.2137,-3.7077,-2.8541,-1.4087
"FFR - Wald p-value",0.0294,0.364,0.3861,0.5815,0.8967
